Tên tr??ng,N?m,Mã ngành,Tên ngành,T? h?p môn,?i?m chu?n,Ghi chú
??i H?c Tài Chính Marketing,2018,7810103,Qu?n tr? d?ch v? du l?ch và l? hành,A00; A01; D01; D96,19.7,
??i H?c Tài Chính Marketing,2018,7810201,Qu?n tr? khách s?n,A00; A01; D01; D96,20.2,
??i H?c Tài Chính Marketing,2018,7810202,Qu?n tr? nhà hàng và d?ch v? ?n u?ng,A00; A01; D01; D96,19.3,
??i H?c Tài Chính Marketing,2019,7340101,Qu?n tr? kinh doanh,"A00, A01, D01, D96",22.3,
??i H?c Tài Chính Marketing,2019,7340115,Marketing,"A00, A01, D01, D96",24.5,
??i H?c Tài Chính Marketing,2019,7340116,B?t ??ng s?n,"A00, A01, D01, D96",19.4,
??i H?c Tài Chính Marketing,2019,7340120,Kinh doanh qu?c t?,"A00, A01, D01, D96",23.75,
??i H?c Tài Chính Marketing,2019,7340201,Tài chính Ngân hàng,"A00, A01, D01, D96",21.1,
??i H?c Tài Chính Marketing,2019,7340301,K? toán,"A00, A01, D01, D96",21.9,
??i H?c Tài Chính Marketing,2019,7220201,Ngôn ng? Anh,"A00, A01, D01, D96",20,
??i H?c Tài Chính Marketing,2019,7340405D,H? th?ng thông tin qu?n lý (Ch??ng trình ??c thù),"A00, A01, D01, D96",18.8,
??i H?c Tài Chính Marketing,2019,7810103D,Qu?n tr? d?ch v? du l?ch và l? hành (Ch??ng trình ??c thù),"A00, A01, D01, D96",21.67,
??i H?c Tài Chính Marketing,2019,7810201D,Qu?n tr? khách s?n (Ch??ng trình ??c thù),"A00, A01, D01, D96",22.3,
??i H?c Tài Chính Marketing,2019,7810202D,Qu?n tr? nhà hàng và d?ch v? ?n u?ng (Ch??ng trình ??c thù),"A00, A01, D01, D96",21.2,
??i H?c Tài Chính Marketing,2019,7340101C,Qu?n tr? kinh doanh (Ch??ng trình ch?t l??ng cao),"A00, A01, D01, D96",19,
??i H?c Tài Chính Marketing,2019,7340115C,Marketing (Ch??ng trình ch?t l??ng cao),"A00, A01, D01, D96",19.2,
??i H?c Tài Chính Marketing,2019,7340301C,K? toán (Ch??ng trình ch?t l??ng cao),"A00, A01, D01, D96",17.2,
??i H?c Tài Chính Marketing,2019,7340201C,Tài chính – Ngân hàng (Ch??ng trình ch?t l??ng cao),"A00, A01, D01, D96",17,
??i H?c Tài Chính Marketing,2019,7340120C,Kinh doanh qu?c t? (Ch??ng trình ch?t l??ng cao),"A00, A01, D01, D96",20,
??i H?c Tài Chính Marketing,2019,7810201C,Qu?n tr? khách s?n (Ch??ng trình ch?t l??ng cao),"A00, A01, D01, D96",17.8,
??i H?c Tài Chính Marketing,2019,7340101Q,Qu?n tr? kinh doanh (Ch??ng trình qu?c t?),"A00, A01, D01, D96",18.7,
??i H?c Tài Chính Marketing,2019,7340115Q,Marketing (Ch??ng trình qu?c t?),"A00, A01, D01, D96",18.5,
??i H?c Tài Chính Marketing,2019,7340301Q,K? toán (Ch??ng trình qu?c t?),"A00, A01, D01, D96",16.45,
??i H?c Tài Chính Marketing,2019,7340120Q,Kinh doanh qu?c t? (Ch??ng trình qu?c t?),"A00, A01, D01, D96",20,
??i H?c Tài Chính Marketing,2020,7220201,Ngôn ng? Anh,"D01, D72, D78, D96",23.8,
??i H?c Tài Chính Marketing,2020,7340101,Qu?n tr? kinh doanh,"A00, A01, D01, D96",25.3,
??i H?c Tài Chính Marketing,2020,7340115,Marketing,"A00, A01, D01, D96",26.1,
??i H?c Tài Chính Marketing,2020,7340116,B?t ??ng s?n,"A00, A01, D01, D96",23,
??i H?c Tài Chính Marketing,2020,7340120,Kinh doanh qu?c t?,"A00, A01, D01, D96",25.8,
??i H?c Tài Chính Marketing,2020,7340201,Tài chính - Ngân hàng,"A00, A01, D01, D96",24.47,
??i H?c Tài Chính Marketing,2020,7310101,Kinh t?,"A00, A01, D01, D96",24.85,
??i H?c Tài Chính Marketing,2020,7340301,K? toán,"A00, A01, D01, D96",25,
??i H?c Tài Chính Marketing,2020,7340405D,H? th?ng thông tin qu?n lý,"A00, A01, D01, D96",22.7,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2020,7810103D,Qu?n tr? d?ch v? du l?ch và l? hành,"D01, D72, D78, D96",23.4,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2020,7810201D,Qu?n tr? khách s?n,"D01, D72, D78, D96",24,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2020,7810202D,Qu?n tr? nhà hàng và d?ch v? ?n u?ng,"D01, D72, D78, D96",22,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2020,7340101Q,Qu?n tr? kinh doanh,"A00, A01, D01, D96",20.7,Ch??ng trình qu?c t?
??i H?c Tài Chính Marketing,2020,7340115Q,Marketing,"A00, A01, D01, D96",22.8,Ch??ng trình qu?c t?
??i H?c Tài Chính Marketing,2020,7340120Q,Kinh doanh qu?c t?,"A00, A01, D01, D96",21.7,Ch??ng trình qu?c t?
??i H?c Tài Chính Marketing,2020,7340301Q,K? toán,"A00, A01, D01, D96",18,Ch??ng trình qu?c t?
??i H?c Tài Chính Marketing,2020,7340101C,Qu?n tr? kinh doanh,"A00, A01, D01, D96",23.9,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2020,7340115C,Marketing,"A00, A01, D01, D96",24.8,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2020,7340120C,Kinh doanh qu?c t?,"A00, A01, D01, D96",24.5,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2021,7340101,Qu?n tr? kinh doanh,A00; A01; D01; D96,25.9,Ch??ng trình ??i trà
??i H?c Tài Chính Marketing,2021,7340115,Marketing,A00; A01; D01; D96,27.1,Ch??ng trình ??i trà
??i H?c Tài Chính Marketing,2021,7340116,B?t ??ng s?n,A00; A01; D01; D96,25.1,Ch??ng trình ??i trà
??i H?c Tài Chính Marketing,2021,7340120,Kinh doanh qu?c t?,A00; A01; D01; D96,26.4,Ch??ng trình ??i trà
??i H?c Tài Chính Marketing,2021,7340201,Tài chính ngân hàng,A00; A01; D01; D96,25.4,Ch??ng trình ??i trà
??i H?c Tài Chính Marketing,2021,7340301,K? toán,A00; A01; D01; D96,25.3,Ch??ng trình ??i trà
??i H?c Tài Chính Marketing,2021,7310101,Kinh t?,A00; A01; D01; D96,25.8,Ch??ng trình ??i trà
??i H?c Tài Chính Marketing,2021,7380107,Lu?t kinh t?,A00; A01; D01; D96,24.8,Ch??ng trình ??i trà
??i H?c Tài Chính Marketing,2021,7310108,Toán kinh t?,A00; A01; D01; D96,21.25,Ch??ng trình ??i trà
??i H?c Tài Chính Marketing,2021,7220201,Ngôn ng? Anh,D01; D72; D78; D96,26.1,"Ch??ng trình ??i trà, Ti?ng Anh nhân h? s? 2"
??i H?c Tài Chính Marketing,2021,7340405D,H? th?ng thông tin qu?n lý,A00; A01; D01; D96,25.2,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2021,7810103D,Qu?n tr? d?ch v? du l?ch và l? hành,D01; D72; D78; D96,24.5,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2021,7810201D,Qu?n tr? khách s?n,D01; D72; D78; D96,24.5,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2021,7810202D,Qu?n tr? nhà hàng và d?ch v? ?n u?ng,D01; D72; D78; D96,24.3,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2021,7340101Q,Qu?n tr? kinh doanh,A00; A01; D01; D96,24,Ch??ng trình CLC ti?ng Anh toàn ph?n (ch??ng trình qu?c t?)
??i H?c Tài Chính Marketing,2021,7340115Q,Marketing,A00; A01; D01; D96,24.2,Ch??ng trình CLC ti?ng Anh toàn ph?n (ch??ng trình qu?c t?)
??i H?c Tài Chính Marketing,2021,7340120Q,Kinh doanh qu?c t?,A00; A01; D01; D96,24,Ch??ng trình CLC ti?ng Anh toàn ph?n (ch??ng trình qu?c t?)
??i H?c Tài Chính Marketing,2021,7340101C,Qu?n tr? kinh doanh,A00; A01; D01; D96,25.3,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2021,7340115C,Marketing,A00; A01; D01; D96,26.2,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2021,7340301C,K? toán,A00; A01; D01; D96,24.2,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2021,7340201C,Tài chính ngân hàng,A00; A01; D01; D96,24.6,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2021,7340120C,Kinh doanh qu?c t?,A00; A01; D01; D96,25.5,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2021,7340116C,B?t ??ng s?n,A00; A01; D01; D96,23.5,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2022,7340101,Qu?n tr? kinh doanh,A00; A01; D01; D96,25,
??i H?c Tài Chính Marketing,2022,7340115,Marketing,A00; A01; D01; D96,26.7,
??i H?c Tài Chính Marketing,2022,7340116,B?t ??ng s?n,A00; A01; D01; D96,23,
??i H?c Tài Chính Marketing,2022,7340120,Kinh doanh qu?c t?,A00; A01; D01; D96,25.7,
??i H?c Tài Chính Marketing,2022,7340201,Tài chính - Ngân hàng,A00; A01; D01; D96,24.8,
??i H?c Tài Chính Marketing,2022,7340301,K? toán,A00; A01; D01; D96,25.2,
??i H?c Tài Chính Marketing,2022,7310101,Kinh t?,A00; A01; D01; D96,25.6,
??i H?c Tài Chính Marketing,2022,7380107,Lu?t kinh t?,A00; A01; D01; D96,25.2,
??i H?c Tài Chính Marketing,2022,7310108,Toán kinh t?,A00; A01; D01; D96,24.6,
??i H?c Tài Chính Marketing,2022,7220201,Ngôn ng? Anh,D01; D72; D78; D96,23.6,
??i H?c Tài Chính Marketing,2022,7340405D,H? th?ng thông tin QL,A00; A01; D01; D96,24.5,
??i H?c Tài Chính Marketing,2022,7810103D,Qu?n tr? d?ch v? du l?ch và l? hành,D01; D72; D78; D96,22,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2022,7810201D,Qu?n tr? khách s?n,D01; D72; D78; D96,22,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2022,7810202D,Qu?n tr? nhà hàng và d?ch v? ?n u?ng,D01; D72; D78; D96,22,Ch??ng trình ??c thù
??i H?c Tài Chính Marketing,2022,7340101C,Qu?n tr? kinh doanh,A00; A01; D01; D96,23.5,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2022,7340115C,Marketing,A00; A01; D01; D96,25.3,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2022,7340301C,K? toán,A00; A01; D01; D96,23.8,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2022,7340201C,Tài chính - Ngân hàng,A00; A01; D01; D96,23.5,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2022,7340120C,Kinh doanh qu?c t?,A00; A01; D01; D96,24.7,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2022,7340116C,B?t ??ng s?n,A00; A01; D01; D96,23,Ch??ng trình CLC
??i H?c Tài Chính Marketing,2022,7340101Q,Qu?n tr? kinh doanh,A00; A01; D01; D96,23,Ch??ng trình CLC Ti?ng Anh toàn ph?n
??i H?c Tài Chính Marketing,2022,7340115Q,Marketing,A00; A01; D01; D96,25,Ch??ng trình CLC Ti?ng Anh toàn ph?n
??i H?c Tài Chính Marketing,2022,7340120Q,Kinh doanh qu?c t?,A00; A01; D01; D96,24.3,Ch??ng trình CLC Ti?ng Anh toàn ph?n
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7520503,K? thu?t tr?c ??a - b?n ?? (Liên thông),A00; A01; B00,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7850101,Qu?n lý Tài nguyên và môi tr??ng (Liên thông),A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7510406,Công ngh? k? thu?t môi tr??ng,A00; A01; B00,15.25,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7850103,Qu?n lý ?ât ?ai,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7480201,Công ngh? thông tin,A00; A01; D01,16,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7340103,Qu?n tr? d?ch v? du l?ch và l? hành,A00; A01; D01,16,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7850102,Kinh t? tài nguyên thiên nhiên,A00; A01; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7340301,K? toán,A00; A01; D01,16.25,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7440299,Khí t??ng th?y v?n biên,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7440298,Biên ?ôi khí h?u và phát triên b?n v?ng,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7850199,Qu?n lý bi?n,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7520501,Kv thu?t ??a chât,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7520503,K.? thu?t tr?c ??a - b?n ??,A00; A01; B00,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7440224,Th?y v?n,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7440221,Khí t??ng h?c,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7850101,Qu?n lý tài nguyên và môi tr??ng,A00; A01; B00; D01,20.25,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7510406,Công ngh? k? thu?t môi tr??ng,A00; A01; B00,18,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7850103,Qu?n lý ??t ?ai,A00; A01; B00; D01,17.75,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7340301,K? toán (Liên thông),A00; A01; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7440221,Khí t??ng h?c (Liên thông),A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7440224,Th?y v?n (Liên thông),A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,7480201,công ngh? thông tin (Liên thông),A00; A01; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,C850103,Qu?n lí ??t ?ai,A00; A01; B00; D01; D02; D03; D04; D05; D06,14.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,C510406,Công ngh? k? thu?t môi tr??ng,A00; A01; B00,13.25,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,C440221,Khí t??ng h?c,A00; A01; B00; D01; D02; D03; D04; D05; D06,12,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,C440224,Th?y v?n,A00; A01; B00; D01; D02; D03; D04; D05; D06,12,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,C515902,Công ngh? k? thu?t tr?c ??a,A00; A01; B00,12,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,C510405,Công nah? k? thu?t tài nguyên n??c,A00; A01; B00,12,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,C515901,Công ngh? k? thu?t ??a ch?t,A00; A01; B00; D01; D02; D03; D04; D05; D06,12,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,C340301,K? toán,A00; A01; D01; D02; D03; D04; D05; D06,13.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2015,C480201,Công ngh? thông tin,A00; A01; D01; D02; D03; D04; D05; D06,12.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7850199,Qu?n lý bi?n*,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7850198,Qu?n lý tài nguyên n??c*,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7850103,Qu?n lý ??t ?ai,A00; A01; B00; D01,17,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7850102,Kinh t? tài nguyên thiên nhiên,A00; A01; B00; D01,16,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7850101,Qu?n lý tài nguyên và môi tr??ng,A00; A01; B00; D01,20,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7520503,K? thu?t tr?c ??a - b?n ??,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7520501,K? thu?t ??a ch?t,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7510406,Công ngh? k? thu?t môi tr??ng,A00; A01; B00; D01,18,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7480201,Công ngh? thông tin,A00; A01; B00; D01,16,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7440306,Khoa h?c ??t,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7440299,Khí t??ng th?y v?n bi?n,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7440298,Bi?n ??i khí h?u và phát tri?n b?n v?ng,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7440224,Th?y v?n,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7440221,Khí t??ng h?c,A00; A01; B00; D01,15,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7340301,K? toán,A00; A01; B00; D01,16.25,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2016,7340103,Qu?n tr? d?ch v? du l?ch và l? hành,A00; A01; B00; D01,17,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,,Các ngành ?ào t?o ??i h?c,,---,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7340301,K? toán,A00; A01; B00; D01,16.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7440221,Khí t??ng và khí h?u h?c,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7440224,Thu? v?n h?c,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7440298,Bi?n ??i khí h?u và Phát tri?n b?n v?ng,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7440299,Khí t??ng th?y v?n bi?n,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7480201,Công ngh? thông tin,A00; A01; B00; D01,16.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7510406,Công ngh? k? thu?t môi tr??ng,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7520501,K? thu?t ??a ch?t,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7520503,K? thu?t tr?c ??a - b?n ??,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7620103,Khoa h?c ??t,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7810103,Qu?n tr? d?ch v? du l?ch và l? hành,A00; A01; B00; D01,18.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7850101,Qu?n lý tài nguyên và môi tr??ng,A00; A01; B00; D01,16.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7850102,Kinh t? tài nguyên thiên nhiên,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7850103,Qu?n lý ??t ?ai,A00; A01; B00; D01,16,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7850198,Qu?n lý tài nguyên n??c,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2017,7850199,Qu?n lý bi?n,A00; A01; B00; D01,15.5,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,,T?i tr? s? chính,,---,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7340301,K? toán,"A00, A01, B00, D01",15,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7380101,Lu?t,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7340101,Qu?n tr? kinh doanh,"A00, A01, B00, D01",13.5,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7440298,Bi?n ??i khí h?u và phát tri?n b?n v?ng,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7440299,Khí t??ng th?y v?n bi?n,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7440221,Khí t??ng và khí h?u h?c,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7440224,Th?y v?n h?c,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7620103,Khoa h?c ??t,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7510406,Công ngh? k? thu?t môi tr??ng,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7480201,Công ngh? thông tin,"A00, A01, B00, D01",14,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7520501,K? thu?t ??a ch?t,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7520503,K? thu?t tr?c ??a – b?n ??,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7810103,Qu?n tr? d?ch v? du l?ch và l? hành,"A00, A01, B00, D01",15,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7850102,Kinh t? tài nguyên thiên nhiên,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7850199,Qu?n lý bi?n,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7850103,Qu?n lý ??t ?ai,"A00, A01, B00, D01",13.5,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7850198,Qu?n lý tài nguyên n??c,"A00, A01, B00, D01",13,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7850101,Qu?n lý tài nguyên và môi tr??ng,"A00, A01, B00, D01",13.5,T?i c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,,T?i phân hi?u Thanh Hóa,,---,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7340301PH,K? toán,"A00, A01, B00, D01",13,T?i c? s? Thanh Hóa
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7510406PH,Công ngh? k? thu?t môi tr??ng,"A00, A01, B00, D01",13,T?i c? s? Thanh Hóa
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7520503PH,K? thu?t tr?c ??a – b?n ??,"A00, A01, B00, D01",13,T?i c? s? Thanh Hóa
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2018,7850103PH,Qu?n lý ??t ?ai,"A00, A01, B00, D01",13,T?i c? s? Thanh Hóa
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,,Tr? s? chính t?i Hà N?i,,---,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7440298,Bi?n ??i khí h?u và phát tri?n b?n v?ng,A00; A01; B00; D01,15.5,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7380101,Lu?t,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7340101,Qu?n tr? kinh doanh,A00; A01; B00; D01,14.5,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7340301,K? toán,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7440221,Khí t??ng và khí h?u h?c,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7440224,Th?y v?n h?c,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7510406,Công ngh? k? thu?t môi tr??ng,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7480201,Công ngh? thông tin,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7520501,K? thu?t ??a ch?t,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7520503,K? thu?t tr?c ??a – b?n ??,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7810103,Qu?n tr? d?ch v? du l?ch và l? hành,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7850102,Kinh t? tài nguyên thiên nhiên,A00; A01; B00; D01,15,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7850199,Qu?n lý bi?n,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7850103,Qu?n lý ??t ?ai,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7850198,Qu?n lý tài nguyên n??c,A00; A01; B00; D01,14.5,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7850101,Qu?n lý tài nguyên và môi tr??ng,A00; A01; B00; D01,14,c? s? Hà N?i
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,,Phân hi?u t?i Thanh Hóa,,---,
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7340301PH,K? toán,A00; A01; B00; D01,14,c? s? Thanh Hóa
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7510406PH,Công ngh? k? thu?t môi tr??ng,A00; A01; B00; D01,14,c? s? Thanh Hóa
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7520503PH,K? thu?t tr?c ??a – b?n ??,A00; A01; B00; D01,14,c? s? Thanh Hóa
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7480201PH,Công ngh? thông tin,A00; A01; B00; D01,14,c? s? Thanh Hóa
??i h?c Tài Nguyên và Môi Tr??ng Hà N?i,2019,7850103PH,Qu?n lý ??t ?ai,A00; A01; B00; D01,14,c? s? Thanh Hóa
